,dt,from_time,to_time,jaggedness,area,score
46,2022/04/16,00:00:00,23:59:59,0.0,0.0,0.0
131,2022/07/10,00:00:00,23:59:59,0.0,0.0,0.0
345,2023/02/09,00:00:00,23:59:59,0.0,0.0,0.0
133,2022/07/12,00:00:00,23:59:59,0.0,0.0,0.0
170,2022/08/18,00:00:00,23:59:59,0.0,0.0,0.0
160,2022/08/08,00:00:00,23:59:59,0.0,0.0,0.0
161,2022/08/09,00:00:00,23:59:59,0.0,0.0,0.0
162,2022/08/10,00:00:00,23:59:59,0.0,0.0,0.0
163,2022/08/11,00:00:00,23:59:59,0.0,0.0,0.0
164,2022/08/12,00:00:00,23:59:59,0.0,0.0,0.0
165,2022/08/13,00:00:00,23:59:59,0.0,0.0,0.0
166,2022/08/14,00:00:00,23:59:59,0.0,0.0,0.0
167,2022/08/15,00:00:00,23:59:59,0.0,0.0,0.0
168,2022/08/16,00:00:00,23:59:59,0.0,0.0,0.0
169,2022/08/17,00:00:00,23:59:59,0.0,0.0,0.0
171,2022/08/19,00:00:00,23:59:59,0.0,0.0,0.0
134,2022/07/13,00:00:00,23:59:59,0.0,0.0,0.0
172,2022/08/20,00:00:00,23:59:59,0.0,0.0,0.0
1,2022/03/02,00:00:00,23:59:59,0.0,0.0,0.0
174,2022/08/22,00:00:00,23:59:59,0.0,0.0,0.0
175,2022/08/23,00:00:00,23:59:59,0.0,0.0,0.0
176,2022/08/24,00:00:00,23:59:59,0.0,0.0,0.0
177,2022/08/25,00:00:00,23:59:59,0.0,0.0,0.0
178,2022/08/26,00:00:00,23:59:59,0.0,0.0,0.0
179,2022/08/27,00:00:00,23:59:59,0.0,0.0,0.0
180,2022/08/28,00:00:00,23:59:59,0.0,0.0,0.0
199,2022/09/16,00:00:00,23:59:59,0.0,0.0,0.0
159,2022/08/07,00:00:00,23:59:59,0.0,0.0,0.0
158,2022/08/06,00:00:00,23:59:59,0.0,0.0,0.0
157,2022/08/05,00:00:00,23:59:59,0.0,0.0,0.0
156,2022/08/04,00:00:00,23:59:59,0.0,0.0,0.0
135,2022/07/14,00:00:00,23:59:59,0.0,0.0,0.0
136,2022/07/15,00:00:00,23:59:59,0.0,0.0,0.0
137,2022/07/16,00:00:00,23:59:59,0.0,0.0,0.0
138,2022/07/17,00:00:00,23:59:59,0.0,0.0,0.0
139,2022/07/18,00:00:00,23:59:59,0.0,0.0,0.0
140,2022/07/19,00:00:00,23:59:59,0.0,0.0,0.0
141,2022/07/20,00:00:00,23:59:59,0.0,0.0,0.0
142,2022/07/21,00:00:00,23:59:59,0.0,0.0,0.0
143,2022/07/22,00:00:00,23:59:59,0.0,0.0,0.0
144,2022/07/23,00:00:00,23:59:59,0.0,0.0,0.0
145,2022/07/24,00:00:00,23:59:59,0.0,0.0,0.0
146,2022/07/25,00:00:00,23:59:59,0.0,0.0,0.0
147,2022/07/26,00:00:00,23:59:59,0.0,0.0,0.0
148,2022/07/27,00:00:00,23:59:59,0.0,0.0,0.0
149,2022/07/28,00:00:00,23:59:59,0.0,0.0,0.0
150,2022/07/29,00:00:00,23:59:59,0.0,0.0,0.0
151,2022/07/30,00:00:00,23:59:59,0.0,0.0,0.0
152,2022/07/31,00:00:00,23:59:59,0.0,0.0,0.0
153,2022/08/01,00:00:00,23:59:59,0.0,0.0,0.0
154,2022/08/02,00:00:00,23:59:59,0.0,0.0,0.0
155,2022/08/03,00:00:00,23:59:59,0.0,0.0,0.0
239,2022/10/26,00:00:00,23:59:59,2.0,-8.178941442284741e-09,-4.089470721142371e-09
262,2022/11/18,00:00:00,23:59:59,1.0,-1.1574208034815218e-08,-1.1574208034815218e-08
80,2022/05/20,00:00:00,23:59:59,1.0,-1.1574208034815218e-08,-1.1574208034815218e-08
